
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 53.488 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Enhydrocyon	30.886	23.701	
Enhydrocyon_basilatus	24.741	24.741	
Enhydrocyon_crassidens	26.565	20.76	
Enhydrocyon_pahinsintewakpa	29.97	21.289	
Enhydrocyon_stenocephalus	23.471	21.174	
Epicyon	12.75	5.464	
Epicyon_aelurodontoides	8.038	8.038	
Epicyon_haydeni	23.014	5.176	
Epicyon_saevus	22.64	4.941	
Eucyon	11.235	3.816	
Eucyon_davisi	19.462	3.725	
Eucyon_skinneri	12.648	12.648	
Euoplocyon_brachygnathus	18.85	14.321	
Euoplocyon_spissidens	19.297	19.297	
Gobicyon	12.883	11.873	
Hesperocyon	43.206	28.794	
Hesperocyon_coloradensis	33.832	33.815	
Hesperocyon_gregarius	38.217	31.365	
Hesperocyoninae	28.79	23.155	
Leptocyon	28.684	5.376	
Leptocyon_delicatus	30.43	30.43	
Leptocyon_douglassi	29.841	21.061	
Leptocyon_gregorii	24.619	21.312	
Leptocyon_leidyi	23.327	13.699	
Leptocyon_matthewi	13.416	10.46	
Leptocyon_mollis	21.589	21.589	
Leptocyon_tejonensis	12.908	12.908	
Leptocyon_vafer	20.916	6.669	
Leptocyon_vulpinus	30.343	18.508	
Lycaon	4.07	0.661	
Lycaon_pictus	2.263	0.002	
Mesocyon	27.409	27.409	
Mesocyon_brachyops	28.789	21.215	
Mesocyon_coryphaeus	29.102	21.846	
Mesocyon_temnodon	33.631	21.175	
Metalopex_bakeri	7.629	7.629	
Metalopex_macconnelli	13.791	8.726	
Metalopex_merriami	22.623	5.292	
Metatomarctus	18.929	18.929	
Metatomarctus_canavus	20.319	16.064	
Microtomarctus_conferta	19.926	9.007	
Neovulpavus_washakius	40.672	40.672	
Nyctereutes	7.762	0.612	
Nyctereutes_abdeslami	3.522	2.965	
Nyctereutes_procyonoides	2.426	0.018	
Osbornodon_brachypus	22.764	19.957	
Osbornodon_fricki	20.061	13.893	
Osbornodon_iamonensis	19.118	17.489	
Osbornodon_renjiei	33.702	32.228	
Osbornodon_scitulus	16.864	16.207	
Osbornodon_sesnoni	31.625	20.963	
Osbornodon_wangi	30.787	30.787	
Otarocyon_cooki	30.282	25.372	
Otarocyon_macdonaldi	33.748	33.691	
Otocyon	3.358	0.092	
Otocyon_megalotis	2.498	0.003	
Oxetocyon	32.229	31.527	
Oxetocyon_cuspidatus	32.951	31.123	
Paracynarctus_kelloggi	21.247	12.571	
Paracynarctus_sinclairi	17.57	15.874	
Paraenhydrocyon_josephi	30.508	21.736	
Paraenhydrocyon_robustus	22.92	21.05	
Paraenhydrocyon_wallovianus	30.477	22.052	
Paratomarctus_euthos	13.568	7.738	
Paratomarctus_temerarius	22.138	9.328	
Philotrox_condoni	29.724	27.691	
Phlaocyon	23.926	16.032	
Phlaocyon_achoros	22.473	22.473	
Phlaocyon_annectens	23.826	20.512	
Phlaocyon_latidens	33.028	28.492	
Phlaocyon_leucosteus	24.561	16.432	
Phlaocyon_mariae	17.95	17.95	
Phlaocyon_marslandensis	17.753	16.723	
Phlaocyon_minor	25.168	18.956	
Phlaocyon_multicuspus	20.951	20.951	
Phlaocyon_taylori	29.199	25.576	
Phlaocyon_yatkolai	18.634	18.634	
Protemnocyon_inflatus	33.389	33.389	
Protepicyon_raki	15.878	13.915	
Protocyon	2.037	0.063	
Protocyon_orcesi	0.067	0.067	
Protocyon_tarijensis	1.109	1.109	
Protocyon_troglodytes	0.475	0.02	
Protomarctus_optatus	20.069	13.732	
Psalidocyon_marianae	19.305	14.622	
Pseudalopex_gymnocercus	1.874	0.009	extant
Rhizocyon_oregonensis	27.527	25.069	
Speothos	0.893	0.893	
Speothos_venaticus	0.002	0.002	
Sunkahetanka_geringensis	28.29	21.14	
Tephrocyon_rurestris	15.51	12.358	
Theriodictis	2.062	0.016	
Theriodictis_floridanus	4.33	2.879	
Tomarctus	15.289	10.118	
Tomarctus_brevirostris	20.072	7.866	
Tomarctus_hippophaga	19.999	13.659	
Urocyon	11.045	0.024	
Urocyon_cinereoargenteus	4.003	0.001	
Urocyon_citrinus	4.105	4.105	
Urocyon_galushai	4.604	3.211	
Urocyon_minicephalus	1.757	1.31	
Urocyon_progressus	1.912	1.912	
Urocyon_webbi	8.794	8.794	
Vulpes	9.155	0.007	
Vulpes_cascadensis	0.115	0.115	
Vulpes_chama	2.579	0.001	
Vulpes_kernensis	10.998	10.998	
Vulpes_mathisoni	4.775	4.775	
Vulpes_stenognathus	13.826	0.545	
Vulpes_velox	3.093	0.031	
Vulpes_vulpes	3.012	0.002	
Vulpes_vulpes_macroura	0.107	0.107	
Vulpini	0.055	0.055	
Xenocyon	2.096	0.777	
Xenocyon_lycaonoides	2.545	0.24	
Xenocyon_texanus	1.758	1.758	
